text,segmented_text,gloss,translation,detailed_gloss
"['porke', 'porke', ""kita'"", ""chiki'"", 'rexÃ\x83Â³ql+']","['porke', 'porke', ""kita'"", 'chik', ""-i'"", 'r-', 'ixoql']","['ADV', 'ADV', 'PART', 'PART', 'PART', 'PERS', 'S']","['Porque', 'porque', 'ya', 'no', 'esta', 'su', 'mujer.']","['ADV', 'ADV', 'NEG#PART', 'PART#PART', 'ENF#PART', 'E3S#PERS', 'S']"
"['man', ""qawetz'.+""]","['man', 'qa-', 'wetz']","['ART', 'PERS', 'S']","['Y', 'ese', 'nuestro', 'hermano.']","['ART#ART', 'E1P#PERS', 'S']"
"['Jaan', ""che'.+""]","['jaan', ""che'""]","['ADV', 'VI']","['Esta', 'bien', 'dijo.']","['ADV', 'VI']"
"[""Xe'"", 'jol', 're', 'Ã\x83Â¡nm.+']","[""xe'"", 'jol', 're', 'Ã\x83Â¡nim']","['SREL', 'VI', 'PART', 'S']","['Se', 'fue', 'corriendo', 'la', 'mujercita.']","['SREL', 'VI', 'PART#PART', 'S']"
"['xtaaw', 're', 'Ã\x83Â¡nm', ""rik'i"", ""jtiit'.+""]","['x-', 'taaw', 're', 'Ã\x83Â¡nim', 'r-', ""ik'il"", 'j-', ""tiit'""]","['TAM', 'VT', 'DIM', 'S', 'PERS', 'SREL', 'PERS', 'S']","['Llego', 'la', 'mujercita', 'con', 'su', 'abuelita.']","['COM#TAM', 'VT', 'DIM#DIM', 'S', 'E3S#PERS', 'SREL', 'E3S#PERS', 'S']"
"['_', ""b'an"", 'jun', ""toq'ob'"", 'chwe', ""tiit'.+""]","[""b'an"", 'jun', ""toq'ob'"", 'ch-', 'we', ""tiit'""]","['VT', 'NUM', 'S', 'TAM', 'SREL', 'S']","['Hagame', 'un', 'favor', 'abuelita.']","['VT', 'NUM', 'S', 'INC#TAM', 'SREL', 'S']"
"[""Ã\x82Â¿mokÃ\x83Â³nta'"", 'xawil', ""mokÃ\x83Â³nta'"", ""xq'aax"", 'man', 'Ã\x83Â¡nm?+']","['mo-', 'kont-', ""a'"", 'x-', 'aw-', 'il', 'mo-', 'kont', ""-a'"", 'x-', ""q'ax"", 'man', 'Ã\x83Â¡nim']","['PART', 'PART', 'PART', 'TAM', 'PERS', 'VT', 'PART', 'PART', 'PART', 'TAM', 'VI', 'ART', 'S']","['Por', 'casualidad', 'no', 'vistes', 'pasar', 'a', 'esa', 'mujer.']","['IMP#PART', 'PART#PART', 'ENF#PART', 'COM#TAM', 'E2S#PERS', 'VT', 'IMP#PART', 'PART#PART', 'ENF#PART', 'COM#TAM', 'VI', 'ART#ART', 'S']"
"['_', ""Xq'aaxi'n"", 'miij,+']","['x-', ""q'ax"", ""-i'n"", 'miij']","['TAM', 'VI', 'PART', 'S']","['Paso', 'mija.']","['COM#TAM', 'VI', 'ENF#PART', 'S']"
"['xnÃ\x83Â¡', ""b'i"", 'jun', 'kiitz', ""jch'ojniik"", 'chi', ""ja',+""]","['x', ""-na'"", ""b'i"", 'jun', 'kiitz', 'j-', ""ch'oj"", '-n', '-ik', 'chi', ""ja'""]","['TAM', 'PART', 'DIR', 'NUM', 'ADV', 'PERS', 'VT', '???', 'SUF', 'PREP', 'S']","['Hizo', 'un', 'poco', 'de', 'lavado', 'en', 'la', 'orilla', 'del', 'agua,', 'o', 'pozo.']","['COM#TAM', 'ENF#PART', 'DIR#DIR', 'NUM', 'ADV', 'E3S#PERS', 'VT', '???', 'SC#SUF', 'PREP#PREP', 'S']"
"['xqej', ""inkukub',+""]","['x-', 'qej', 'in-', ""kukub'""]","['TAM', 'VT', 'PERS', 'S']","['Presto', 'mi', 'apaste.']","['COM#TAM', 'VT', 'E1S#PERS', 'S']"
"[""resaji'"", 'jun', ""kukub'"", ""ja',+""]","['re', '-sÃ\x83Â¡j', ""-i'"", 'jun', ""kukub'"", ""ja'""]","['PART', 'SUF', 'SUF', 'NUM', 'S', 'S']","['Saco', 'un', 'apaste', 'de', 'agua.']","['PART#PART', 'PAS#SUF', 'ENF#SUF', 'NUM', 'S', 'S']"
"[""xoki'"", 'chi', ""ch'ojniik"", 'xwil.+']","['x-', 'ok', ""-i'"", 'chi', ""ch'oj"", '-n', '-ik', 'x-', 'w-', 'il']","['TAM', 'VT', 'SUF', 'PREP', 'S', '???', 'SUF', 'TAM', 'PERS', 'rel']","['EmpezÃ\x83Â³', 'a', 'lavar', 'VI', 'yo.']","['COM#TAM', 'VT', 'ENF#SUF', 'PREP#PREP', 'S', '???', 'SC#SUF', 'COM#TAM', 'E1S#PERS', 'rel']"
"['Peer', 'xwiliin+']","['peer', 'x-', 'w-', 'il', '-iin']","['ADV', 'TAM', 'PERS', 'VT', 'PRON']","['Pero', 'yo', 'vi.']","['ADV', 'COM#TAM', 'E1S#PERS', 'VT', 'PRON']"
"['xiq', ""kiib'"", 'ruuq', ""rik'laal"", ""xch'aj"", ""b'ik+""]","['xiq', ""kiib'"", 'r-', 'uuq', 'r-', ""ik'laal"", 'x-', ""ch'aj"", ""b'ik""]","['PART', 'NUM', 'PERS', 'S', 'PERS', 'S', 'TAM', 'VT', 'DIR']","['Solo', 'dos', 'paÃ\x83Â±ales', 'o', 'cortes', 'de', 'su', 'hija', 'lavo.']","['PART#PART', 'NUM', 'E3S#PERS', 'S', 'E3S#PERS', 'S', 'COM#TAM', 'VT', 'DIR#DIR']"
"['i', 'lojori', ""xi'n.+""]","['i', 'lojori', 'x-', 'i', ""-i'n""]","['CONJ', 'ADV', 'TAM', 'VI', 'PART']","['Y', 'ahora', 'se', 'fue.']","['CONJ#CONJ', 'ADV', 'COM#TAM', 'VI', 'ENF#PART']"
"['_Ã\x82Â¿Lamas', ""xe'w"", ""tiit'?+""]","['lamas', ""xe'"", '-w', ""tiit'""]","['ADV', 'VI', 'PART', 'S']","['Endonde', 'se', 'fue', 'abuela.']","['ADV', 'VI', 'PART#PART', 'S']"
"[""Xii'n"", 'mjÃ\x83Â¡', ""b'i"", ""b'ee,+""]","['xi', ""-i'n"", 'mj', '-Ã\x83Â¡', ""b'i"", ""b'ee""]","['VI', 'PART', 'VT', 'PART', 'DIR', 'S']","['Se', 'fue', 'agarro', 'camino.']","['VI', 'ENF#PART', 'VT', 'ENF#PART', 'DIR#DIR', 'S']"
"[""xii'"", 'le', ""nemb'ee.+""]","[""xii'"", 'le', 'nem', ""-b'ee""]","['VI', 'PREP', 'ADJ', 'S']","['Se', 'fue', 'en', 'el', 'camino', 'grande.']","['VI', 'PREP#PREP', 'ADJ', 'S']"
"['_', 'Jaan', ""che'"", 're', 'Ã\x83Â¡nm,+']","['jaan', ""che'"", 're', 'Ã\x83Â¡nm']","['ADV', 'VI', 'DIM', 'S']","['Esta', 'bien', 'dijo', 'la', 'mujercita.']","['ADV', 'VI', 'DIM#DIM', 'S']"
"[""xe'"", 'jol+']","[""xe'"", 'jol']","['VI', 'VI']","['Se', 'fue', 'corriedo.']","['VI', 'VI']"
"[""xi'rile'"", 'lamas', ""b'esel"", 'man', ""alib'xeel.+""]","['x-', ""i'-"", 'r-', 'il', ""-e'"", 'lamas', ""b'e"", '-sel', 'man', 'alib', 'xeel']","['TAM', 'DIR', 'PERS', 'VT', 'PART', 'ADV', 'POS', '???', 'ART', 'S', '???']","['Fue', 'a', 'ver', 'endonde', 'iva', 'la', 'nujer.']","['COM#TAM', 'DIR#DIR', 'E3S#PERS', 'VT', 'ENF#PART', 'ADV', 'POS', '???', 'ART#ART', 'S', '???']"
"['Bay', 'kond', 'xtaaw,+']","['bay', 'kond', 'x-', 'taaw']","['VOC', 'ADV', 'TAM', 'VI']","['Baya', 'cuando', 'llego.']","['VOC', 'ADV', 'COM#TAM', 'VI']"
"[""xte'"", 'na', 'man', ""alib'xeel,+""]","['x-', ""te'"", 'na', 'man', 'alib', 'xeel']","['TAM', 'VT', 'PART', 'ART', 'S', '???']","['TodavÃ\x83Â\xada', 'alcanzÃ\x83Â³', 'a', 'la', 'nuera.']","['COM#TAM', 'VT', 'PART#PART', 'ART#ART', 'S', '???']"
"['ya', ""nÃ\x83Â\xadk'ej"", ""b'ee.+""]","['ya', ""nÃ\x83Â\xadk'ej"", ""b'ee""]","['VOC', 'MED', 'S']","['Ya', 'a', 'medio', 'camino.']","['VOC', 'MED', 'S']"
"['ya', 'man', ""alib'xeel"", 'ya', 'tetaaw.+']","['ya', 'man', ""alib'"", '-xeel', 'ya', 'te-', 'taw']","['VOC', 'ART', 'S', '???', 'VOC', 'TAM', 'VT']","['Ya', 'esa', 'nuera', 'ya', 'mero', 'llega.']","['VOC', 'ART#ART', 'S', '???', 'VOC', 'INC#TAM', 'VT']"
"['Toses', 'xpee', 're', 'Ã\x83Â¡nm', 'xiij', 're.+']","['toses', 'x-', 'pee', 'r-', 'e', 'Ã\x83Â¡nm', 'x-', 'iij', 're']","['ADV', 'TAM', 'VI', 'PERS', 'SREL', 'S', 'TAM', 'VT', 'PRON']","['Entonces', 'vino', 'la', 'mujercita', 'le', 'dijo', 'a', 'ella.']","['ADV', 'COM#TAM', 'VI', 'E3S#PERS', 'SREL', 'S', 'COM#TAM', 'VT', 'PRON']"
"['_', 'Lajori', ""xatyuqi'"", ""inte',+""]","['lajori', 'x-', 'at-', 'yuq', ""-i'"", 'in-', ""te'""]","['ADV', 'TAM', 'PERS', 'VI', 'PART', 'PERS', 'VT']","['Ahora', 'si', 'tevine', 'alcanar,']","['ADV', 'COM#TAM', 'A2S#PERS', 'VI', 'ENF#PART', 'E1S#PERS', 'VT']"
"['ombre', 'nen', 'cheek', 'xapeet,+']","['ombre', 'nen', 'cheek', 'x-', 'a-', 'peet']","['S', 'PART', 'ADV', 'TAM', 'PERS', 'VI']","['Hombre', 'porque', 'te', 'venistes.']","['S', 'INT#PART', 'ADV', 'COM#TAM', 'A2S#PERS', 'VI']"
"[""jo',+""]","[""jo'""]",['VI'],['Vamos.'],['VI']
"[""q'ajeem"", ""b'ik+""]","[""q'aj"", '-eem', ""b'ik""]","['VI', 'SUF', 'DIR']",['Regresate.'],"['VI', 'SV#SUF', 'DIR#DIR']"
"['por', 'ke', 'li', 'inwetz', 'tyuq', 'wka,+']","['por', 'ke', 'li', 'in-', 'wetz', 't-', ""yu'"", 'wka']","['ADV', 'PART', 'DEM', 'PERS', 'S', 'TAM', 'VI', 'ADV']","['Por', 'que', 'ese', 'mi', 'hermano', 'llega', 'mas', 'tarde.']","['ADV', 'PART', 'DEM#DEM', 'E2S#PERS', 'S', 'INC#TAM', 'VI', 'ADV']"
"[""sab'er"", ""jurub'"", ""tyu'"", ""rene'"", 'chwe.+']","['saber', ""jurub'"", 't-', ""yu'"", 'r-', ""ne'"", 'ch-', 'we']","['ADV', 'ADV', 'TAM', 'VI', 'PERS', 'VT', 'TAM', 'SREL']","['Saber', 'cuanto', 'me', 'va', 'venir', 'hacer.']","['ADV', 'ADV', 'INC#TAM', 'VI', 'E3S#PERS', 'VT', 'INC#TAM', 'SREL']"
"['Li', ""tijb'iij"", 'chwe+']","['li', 'ti-', 'j-', ""b'iij"", 'ch-', 'w-', 'e']","['DEM', 'TAM', 'PERS', 'S', 'TAM', 'PERS', 'SREL']","['Eso', 'me', 'lo', 'va', 'decir.']","['DEM#DEM', 'INC#TAM', 'E3S#PERS', 'S', 'INC#TAM', 'E1S#PERS', 'SREL']"
"['ke', 'iin', 'xin', 'uqtaan', 'awe,+']","['ke', 'iin', 'x-', 'iin', 'uqta', '-an', 'aw-', 'e']","['PART', 'PRON', 'TAM', 'PRON', 'VT', 'SUF', 'PERS', 'SREL']","['Que', 'yo', 'fui', 'quien', 'te', 'corretio.']","['PART', 'PRON', 'COM#TAM', 'PRON', 'VT', 'AP#SUF', 'E2S#PERS', 'SREL']"
"['per', 'ma', ""iinta'n.+""]","['per', 'ma', 'in-', ""ta'n""]","['ADV', 'PART', 'PERS', 'ADV']","['Pero', 'no', 'fuÃ\x83Â\xad', 'yo.']","['ADV', 'NEG#PART', 'A1S#PERS', 'NEG#adv']"
"['aat', ""masi'"", 'jwert', 'man', 'akisiyl,+']","['aat', 'mas', ""-i'"", 'jwert', 'man', 'a-', 'kisiy', '-l']","['PRON', 'ADV', 'PART', 'ADV', 'ART', 'PERS', 'ADJ', 'SUF']","['Vos', 'sos', 'muy', 'mala.']","['PRON', 'ADV', 'ENF#PART', 'ADV', 'ART#ART', 'E2S#PERS', 'ADJ', 'SC#SUF']"
"['por', 'ees', 'jinon', 'li', ""ta'an.+""]","['por', 'ees', 'jilon', 'li', 't-', 'a-', ""'an""]","['ADV', 'ADV', 'DEM', 'DEM', 'TAM', 'PERS', 'VT']","['Por', 'eso', 'asi', 'haces.']","['ADV', 'ADV', 'DEM#DEM', 'DEM#DEM', 'INC#TAM', 'E2S#PERS', 'VT']"
"['At', 'aat', 'mjoor', 'man', 'at', 'tokoon.+']","['at', 'aat', 'mjoor', 'man', 'at', 'tok', '-oon']","['PRON', 'PRON', 'ADV', 'ART', 'PRON', 'VT', 'SUF']","['TÃ\x83Âº', 'heres', 'el', 'que', 'mÃ\x83Â¡s', 'buscas.']","['PRON', 'PRON', 'ADV', 'ART#ART', 'PRON', 'VT', 'AP#SUF']"
"['I', 'aat', ""ati'"", 'atelmÃ\x83Â¡j+']","['i', 'aat', 'at', ""-i'"", 'at-', 'el', '-mÃ\x83Â¡', '-j']","['CONJ', 'PRON', 'PRON', 'PART', 'PRON', 'VI', '???', 'SUF']","['Y', 'despue', 'te', 'huyes.']","['CONJ#CONJ', 'PRON', 'PRON', 'ENF#PART', 'PRON', 'VI', '???', 'SC#SUF']"
"['_', ""tche'"", 're.+']","['t-', ""che'"", 're']","['TAM', 'VI', 'PRON']","['Le', 'decia', 'a', 'ella.']","['INC#TAM', 'VI', 'PRON']"
"['If.', ""Tche'"", 're', 'man', ""alib'xeel.+""]","['t-', ""che'"", 're', 'man', 'alib', 'xeel']","['TAM', 'VI', 'PRON', 'ART', 'S', '???']","['Le', 'decia', 'ella', 'a', 'esa', 'nuera.']","['INC#TAM', 'VI', 'PRON', 'ART#ART', 'S', '???']"
"['If.', 'A', 'xpee', 'man', ""alib'xeel.+""]","['a', 'x-', 'pee', 'man', 'alib', '-xeel']","['CONJ', 'TAM', 'VI', 'ART', 'S', '???']","['A', 'vino', 'la', 'nuesra.']","['CONJ#CONJ', 'COM#TAM', 'VI', 'ART#ART', 'S', '???']"
"['_', ""kita'"", 'akweent', 'chwe,+']","[""kita'"", 'a-', 'kweent', 'ch-', 'w-', 'e']","['PART', 'PERS', 'S', 'TAM', 'PERS', 'SREL']","['No', 'tienes', 'que', 'ver', 'nada', 'de', 'mi.']","['NEG#PART', 'E2S#PERS', 'S', 'INC#TAM', 'E1S#PERS', 'SREL']"
"['in', ""ini'"", 'in', ""inb'iik"", ""rik'ii"", 'inchuuch,+']","['iin', 'iin', ""-i'"", 'iin', 'in-', ""b'ik"", 'r-', ""ik'i"", 'in-', 'chuuch']","['PRON', 'PRON', 'PART', 'PRON', 'PERS', 'DIR', 'PERS', 'S', 'PERS', 'S']","['Yo', 'me', 'voy', 'con', 'mi', 'mamÃ\x83Â¡.']","['PRON', 'PRON', 'ENF#PART', 'PRON', 'E1S#PERS', 'DIR#DIR', 'E3S#PERS', 'S', 'E1S#PERS', 'S']"
"['por', 'ke', 'in', 'wi', 'inchuuch,+']","['porke', 'in', 'wi', 'in-', 'chuuch']","['ADV', 'PRON', 'EXS', 'PERS', 'S']","['Porque', 'yo', 'tengo', 'mi', 'mamÃ\x83Â¡.']","['ADV', 'PRON', 'EXS#EXS', 'A1S#PERS', 'S']"
"['tyene', 'mas+']","['tyene', 'mas']","['VT', 'ADV']","['Tiene', 'mÃ\x83Â¡s.']","['VT', 'ADV']"
"['mas', 'libr', ""inb'e"", ""rik'"", 'inchuuch,+']","['mas', 'libr', 'in-', ""b'e"", 'r', '-ik', 'in-', 'chuuch']","['ADV', 'S', 'PERS', 'VI', 'PERS', 'SREL', 'PERS', 'S']","['MÃ\x83Â¡s', 'libre', 'me', 'voy', 'con', 'mi', 'mamÃ\x83Â¡.']","['ADV', 'S', 'E1S#PERS', 'VI', 'E3S#PERS', 'SR#srel', 'A1S#PERS', 'S']"
"['para', 'ke', 'wiin', ""ak'laq,+""]","['parake', 'wi', ""-i'n"", 'Ã\x83Â¡-', ""k'al"", '-aq']","['ADV', 'EXS', 'PERS', 'PERS', 'SREL', 'PART']","['Para', 'que', 'estoy', 'con', 'ustedes.']","['ADV', 'EXS#EXS', 'E1S#PERS', 'E2S#PERS', 'SREL', 'PL#PART']"
"['mjoor', ""inb'e"", ""rik'i"", 'inchuuch.+']","['mjoor', 'in-', ""b'e"", 'r-', ""ik'il"", 'in-', 'chuuch']","['ADV', 'PERS', 'VI', 'PERS', 'SREL', 'PERS', 'S']","['Mejor', 'me', 'voy', 'con', 'mi', 'mamÃ\x83Â¡.']","['ADV', 'A1S#PERS', 'VI', 'E3S#PERS', 'SREL', 'A1S#PERS', 'S']"
"['_', ""Tche'"", 'man', 'Ã\x83Â¡nm.+']","['t-', ""che'"", 'man', 'Ã\x83Â¡nim']","['TAM', 'VI', 'ART', 'S']","['Decia', 'esa', 'mujer.']","['INC#TAM', 'VI', 'ART#ART', 'S']"
"['_', 'A', ""kita'n"", 'ombre.+']","['a', ""kita'n"", 'ombre']","['CONJ', 'ADV', 'S']","['A', 'no', 'hombre.']","['CONJ#CONJ', 'NEG#ADV', 'S']"
"['Xpeet', 'man', ""alib'xeel"", 'molkochiij', 'mre', 'Ã\x83Â¡nm', 'li', ""b'ee.+""]","['x-', 'peet', 'man', ""alib'"", '-xeel', 'molkochiij', 'm-', 're', 'Ã\x83Â¡nim', 'li', ""b'e""]","['TAM', 'VI', 'ART', 'S', '???', 'VT', 'ART', 'DIM', 'S', 'PREP', 'S']","['Vino', 'esa', 'nuera', 'amontono', 'a', 'la', 'mujercita', 'en', 'el', 'camino.', '(golpear', 'a', 'golpes)']","['COM#TAM', 'VI', 'ART#ART', 'S', '???', 'VT', 'ART#ART', 'DIM#DIM', 'S', 'PREP#PREP', 'S']"
"['Xpee', ""k'u"", 'mre', 'Ã\x83Â¡nm', ""juwi'l"", 'ritzel,+']","['x-', 'pee', ""k'u"", 'm-', 're', 'Ã\x83Â¡nim', 'j-', ""uwi'l"", 'r-', 'itzel']","['TAM', 'VI', 'PART', 'ART', 'DIM', 'S', 'PERS', 'SREL', 'PERS', 'S']","['Vino', 'la', 'mujecita', 'porque', 'ya', 'estaba', 'muy', 'enojada.']","['COM#TAM', 'VI', 'PART#PART', 'ART#ART', 'DIM#DIM', 'S', 'E3S#PERS', 'SREL', 'E3S#PERS', 'S']"
"[""xt'oj"", ""b'i"", 'man', ""rikra'n"", 'iqal', ""juwi'l.+""]","['x-', ""t'oj"", ""b'i"", 'man', 'r-', ""ikra'n"", 'iqa', '-l', 'j-', ""wi'l""]","['TAM', 'VT', 'DIR', 'ART', 'PERS', 'S', 'VT', 'SUF', 'PERS', 'SREL']","['Tiro', 'su', 'carga', 'que', 'tenia', 'cargado.']","['COM#TAM', 'VT', 'DIR#DIR', 'ART#ART', 'E3S#PERS', 'S', 'VT', 'SC#SUF', 'E3S#PERS', 'SREL']"
"[""Xt'oj"", ""b'i"", 'le', 'swaan,+']","['x-', ""t'oj"", ""b'i"", 'le', 'swaan']","['TAM', 'VT', 'DIR', 'PREP', 'S']","['Lo', 'tiro', 'en', 'el', 'barranco.']","['COM#TAM', 'VT', 'DIR#DIR', 'PREP#PREP', 'S']"
"[""xe'"", 'man', ""rkra'n"", 'le', 'swaan,+']","[""xe'"", 'man', 'r-', ""kra'n"", 'le', 'swaan']","['SREL', 'ART', 'PERS', 'S', 'PREP', 'S']","['Se', 'fue', 'su', 'carga', 'en', 'el', 'barranco.']","['SREL', 'ART#ART', 'E3S#PERS', 'S', 'PREP#PREP', 'S']"
"['para', 'mintrs', ""xe'"", 'man', ""rikra'n"", 'le', 'swaan,+']","['para', 'mintrs', ""xe'"", 'man', 'r-', ""ikra'n"", 'le', 'swaan']","['PREP', 'ADV', 'SREL', 'ART', 'PERS', 'S', 'PREP', 'S']","['Para', 'mientra', 'que', 'se', 'fue', 'su', 'carga', 'en', 'el', 'barranco.']","['PREP', 'ADV', 'SREL', 'ART#ART', 'E3S#PERS', 'S', 'PREP#PREP', 'S']"
"['xpee', 're', ""xch'eleej"", 'mare', ""ek'el+""]","['x-', 'pee', 're', 'x-', ""ch'ele"", '-j', 'ma', '-re', ""Ã\x83Â¡k'el""]","['TAM', 'VI', 'PRON', 'TAM', 'VT', 'SUF', 'ART', 'DIM', 'S']","['Vino', 'ella', 'levanto', 'el', 'niÃ\x83Â±o.']","['COM#TAM', 'VI', 'PRON', 'COM#TAM', 'VT', 'SC#SUF', 'ART#ART', 'DIM#DIM', 'S']"
['xelmÃ\x83Â¡jch.+'],"['x-', 'el-', 'maj', '-ch']","['TAM', 'VI', 'VT', 'DIR']","['Se', 'huyo.']","['COM#TAM', 'VI', 'VT', 'DIR#DIR']"
"[""Xk'amch"", 'mare', ""ek'el,+""]","['x-', ""k'am"", '-ch', 'ma', '-re', ""Ã\x83Â¡k'el""]","['TAM', 'VT', 'DIR', 'ART', 'DIM', 'S']","['Se', 'trajo', 'al', 'niÃ\x83Â±o.']","['COM#TAM', 'VT', 'DIR#DIR', 'ART#ART', 'DIM#DIM', 'S']"
"[""ri'ti"", 'chi', ""jch'ool"", 're,+']","[""ri'"", '-ti', 'chi', 'j-', ""ch'ool"", 're']","['DEM', 'PART', 'PREP', 'PERS', 'S', 'PRON']","['Ella', 'penso.']","['DEM#DEM', 'PART#PART', 'PREP#PREP', 'E3S#PERS', 'S', 'PRON']"
"[""jwi'lt"", 'ke', ""jwi'l"", 'ke', ""xk'amch"", 'man', 're', ""ek'el,+""]","['j-', ""wi'l"", '-t', 'ke', 'j-', ""wi'l"", 'ke', 'x-', ""k'am"", '-ch', 'man', 're', ""ek'el""]","['PERS', 'SREL', 'TAM', 'PART', 'PERS', 'SREL', 'PART', 'TAM', 'VT', 'DIR', 'ART', 'PART', 'S']","['Solo', 'porque', 'se', 'trajo', 'al', 'niÃ\x83Â±o.']","['E3S#PERS', 'SREL', 'INC#TAM', 'PART', 'E3S#PERS', 'SREL', 'PART', 'COM#TAM', 'VT', 'DIR#DIR', 'ART#ART', 'PART#PART', 'S']"
"['chi', ""jch'ool"", 're', 'li', ""titq'aaj,+""]","['chi', 'j-', ""ch'ool"", 're', 'li', 'tit', ""qa'aj""]","['PREP', 'PERS', 'S', 'PART', 'DEM', 'PART', 'VI']","['Ella', 'penso', 'que', 'iva', 'regresar.']","['PREP#PREP', 'E3S#PERS', 'S', 'PART#PART', 'DEM#DEM', 'PART#PART', 'VI']"
"['peer', 'man', ""alib'xeel,+""]","['peer', 'man', ""alib'"", '-xeel']","['ADV', 'ART', 'S', '???']","['Pero', 'esa', 'nuera.']","['ADV', 'ART#ART', 'S', '???']"
"['per', 'man', ""alib'xeel"", ""mkita'"", ""xq'ajch.+""]","['per', 'man', ""alib'"", 'xeel', 'm', ""kita'"", 'x-', ""q'aj"", '-ch']","['ADV', 'ART', 'S', '???', 'PART', 'PART', 'TAM', 'VI', 'DIR']","['Pero', 'esa', 'nuera', 'no', 'regreso.']","['ADV', 'ART#ART', 'S', '???', 'PART#PART', 'NEG#PART', 'COM#TAM', 'VI', 'DIR#DIR']"
"['Re', ""xii'n+""]","['re', 'xi', ""-i'n""]","['PRON', 'VI', 'PART']","['Ella', 'se', 'fue.']","['PRON', 'VI', 'ENF#PART']"
"['tril', 'mre', 'Ã\x83Â¡nm', 'chi', ""mketa'"", ""xq'ajch,+""]","['t-', 'r', '-il', 'm-', 're', 'Ã\x83Â¡nim', 'chi', 'm-', ""kita'n"", 'x-', ""q'aj"", '-ch']","['TAM', 'PERS', 'VT', 'ART', 'DIM', 'S', 'PREP', 'PART', 'ADV', 'TAM', 'VI', 'DIR']","['Vio', 'la', 'mujercita', 'que', 'no', 'regreso.']","['INC#TAM', 'E3S#PERS', 'VT', 'ART#ART', 'DIM#DIM', 'S', 'PREP#PREP', 'PART#PART', 'NEG#ADV', 'COM#TAM', 'VI', 'DIR#DIR']"
"['tos', ""xq'aj"", 'chik', 'mre', 'Ã\x83Â¡nm', 'chik,+']","['tos', 'x-', ""q'aj"", 'chik', 'm-', 're', 'Ã\x83Â¡nim', 'chik']","['ADV', 'TAM', 'VI', 'PART', 'ART', 'DIM', 'S', 'PART']","['Entonces', 'regreso', 'otra', 'vez', 'la', 'mujercita', 'otra', 'vez.']","['ADV', 'COM#TAM', 'VI', 'PART#PART', 'ART#ART', 'DIM#DIM', 'S', 'PART#PART']"
"['iqal', ""ek'el"", ""jwi'l.+""]","['iqa', '-l', ""Ã\x83Â¡k'el"", 'j-', ""wi'l""]","['VT', 'SUF', 'S', 'PERS', 'SREL']","['TenÃ\x83Â\xada', 'cargado', 'al', 'niÃ\x83Â±o.']","['VT', 'SC#SUF', 'S', 'E3S#PERS', 'SREL']"
"['Mjoor', 'loke', 'xan', 'mre', 'Ã\x83Â¡nm,+']","['mjoor', 'loke', 'x-', 'an', 'm-', 're', 'Ã\x83Â¡nim']","['ADV', 'ADV', 'TAM', 'VT', 'ART', 'DIM', 'S']","['Mejor', 'loque', 'hizo', 'la', 'mujercita.']","['ADV', 'ADV', 'COM#TAM', 'VT', 'ART#ART', 'DIM#DIM', 'S']"
"[""xijye'"", 'chi', 'rchooch.+']","['x-', 'i-', 'j-', ""ye'"", 'chi', 'r-', 'chooch']","['TAM', 'DIR', 'PERS', 'VT', 'PREP', 'PERS', 'S']","['Lo', 'fue', 'a', 'dejar', 'en', 'su', 'casa.']","['COM#TAM', 'DIR#DIR', 'E3S#PERS', 'VT', 'PREP#PREP', 'E3S#PERS', 'S']"
"['I', 'kwando', 'man', 'xtaaw,+']","['i', 'kwando', 'man', 'x-', 'taaw']","['CONJ', 'ADV', 'ART', 'TAM', 'VT']","['Y', 'cuando', 'llego.']","['CONJ#CONJ', 'ADV', 'ART#ART', 'COM#TAM', 'VT']"
"['xtaaw', 'mre', 'Ã\x83Â¡nm,+']","['x-', 'taaw', 'm-', 're', 'Ã\x83Â¡nim']","['TAM', 'VT', 'ART', 'DIM', 'S']","['Llego', 'la', 'mujercita.']","['COM#TAM', 'VT', 'ART#ART', 'DIM#DIM', 'S']"
"['man', ""alib'xeel"", ""kub'ul"", 'chaq', ""chi'"", ""ch'aat"", ""rik'i"", 'chuuch.+']","['man', ""alib'"", 'xeel', ""kub'"", '-uul', 'chaq', ""chi'"", ""ch'aat"", 'r-', ""ik'il"", 'chuuch']","['ART', 'S', '???', 'POS', 'SREL', 'PART', 'SREL', 'S', 'PERS', 'SREL', 'S']","['Esa', 'nuera', 'ya', 'estaba', 'sentada', 'en', 'la', 'orilla', 'de', 'la', 'cama', 'de', 'su', 'mamÃ\x83Â¡.']","['ART#ART', 'S', '???', 'POS', 'SAB#srel', 'PART#PART', 'SREL', 'S', 'E3S#PERS', 'SREL', 'S']"
"['Ril', 'mre', 'Ã\x83Â¡nm', 'ke', 'ya', ""xi'"", ""q'iij,+""]","['r', '-il', 'm-', 're', 'Ã\x83Â¡nim', 'ke', 'ya', ""xi'"", ""q'iij""]","['PERS', 'VT', 'ART', 'DIM', 'S', 'PART', 'VOC', 'VI', 'S']","['Vio', 'la', 'mujercita', 'que', 'ya', 'era', 'muy', 'tarde.']","['E3S#PERS', 'VT', 'ART#ART', 'DIM#DIM', 'S', 'PART', 'VOC', 'VI', 'S']"
